faculty,college,department,url
Shuo Hung Chang, Engineering & Computer Science, Department of Mechanical Engineering, https://www.csun.edu/engineering-computer-science/mechanical-engineering/faculty-listing
Nicholas Fabry, Engineering & Computer Science, Department of Mechanical Engineering, https://www.csun.edu/engineering-computer-science/mechanical-engineering/faculty-listing
Shahram Farhangi, Engineering & Computer Science, Department of Mechanical Engineering, https://www.csun.edu/engineering-computer-science/mechanical-engineering/faculty-listing
Melissa Flores, Engineering & Computer Science, Department of Mechanical Engineering, https://www.csun.edu/engineering-computer-science/mechanical-engineering/faculty-listing
Niloufar Ghoreishi, Engineering & Computer Science, Department of Mechanical Engineering, https://www.csun.edu/engineering-computer-science/mechanical-engineering/faculty-listing
Mark J Giljum, Engineering & Computer Science, Department of Mechanical Engineering, https://www.csun.edu/engineering-computer-science/mechanical-engineering/faculty-listing
Vahic H Goorjian, Engineering & Computer Science, Department of Mechanical Engineering, https://www.csun.edu/engineering-computer-science/mechanical-engineering/faculty-listing
Sina M. Aboutorabi, Engineering & Computer Science, Department of Mechanical Engineering, https://www.csun.edu/engineering-computer-science/mechanical-engineering/faculty-listing
Amiel Hartman, Engineering & Computer Science, Department of Mechanical Engineering, https://www.csun.edu/engineering-computer-science/mechanical-engineering/faculty-listing
Guillermo A Herrera, Engineering & Computer Science, Department of Mechanical Engineering, https://www.csun.edu/engineering-computer-science/mechanical-engineering/faculty-listing
Serkan Kalender, Engineering & Computer Science, Department of Mechanical Engineering, https://www.csun.edu/engineering-computer-science/mechanical-engineering/faculty-listing
Aram Khachatourians, Engineering & Computer Science, Department of Mechanical Engineering, https://www.csun.edu/engineering-computer-science/mechanical-engineering/faculty-listing
Mamdouh Y Khaled, Engineering & Computer Science, Department of Mechanical Engineering, https://www.csun.edu/engineering-computer-science/mechanical-engineering/faculty-listing
Jongho Kwon, Engineering & Computer Science, Department of Mechanical Engineering, https://www.csun.edu/engineering-computer-science/mechanical-engineering/faculty-listing
Manuel Magrane, Engineering & Computer Science, Department of Mechanical Engineering, https://www.csun.edu/engineering-computer-science/mechanical-engineering/faculty-listing
Tanya Milovanova, Engineering & Computer Science, Department of Mechanical Engineering, https://www.csun.edu/engineering-computer-science/mechanical-engineering/faculty-listing
Serop Nalbandian, Engineering & Computer Science, Department of Mechanical Engineering, https://www.csun.edu/engineering-computer-science/mechanical-engineering/faculty-listing
Ali Nekouzadeh, Engineering & Computer Science, Department of Mechanical Engineering, https://www.csun.edu/engineering-computer-science/mechanical-engineering/faculty-listing
Shadwa Oddino, Engineering & Computer Science, Department of Mechanical Engineering, https://www.csun.edu/engineering-computer-science/mechanical-engineering/faculty-listing
Scott Ploen, Engineering & Computer Science, Department of Mechanical Engineering, https://www.csun.edu/engineering-computer-science/mechanical-engineering/faculty-listing
Zahid Rafique, Engineering & Computer Science, Department of Mechanical Engineering, https://www.csun.edu/engineering-computer-science/mechanical-engineering/faculty-listing
Babak Shahpar, Engineering & Computer Science, Department of Mechanical Engineering, https://www.csun.edu/engineering-computer-science/mechanical-engineering/faculty-listing
Mohab A Shalaby, Engineering & Computer Science, Department of Mechanical Engineering, https://www.csun.edu/engineering-computer-science/mechanical-engineering/faculty-listing
Lalit K Sharma, Engineering & Computer Science, Department of Mechanical Engineering, https://www.csun.edu/engineering-computer-science/mechanical-engineering/faculty-listing
Ramtin Sheikhhassani, Engineering & Computer Science, Department of Mechanical Engineering, https://www.csun.edu/engineering-computer-science/mechanical-engineering/faculty-listing
Joel A Storch, Engineering & Computer Science, Department of Mechanical Engineering, https://www.csun.edu/engineering-computer-science/mechanical-engineering/faculty-listing
Feng Sun, Engineering & Computer Science, Department of Mechanical Engineering, https://www.csun.edu/engineering-computer-science/mechanical-engineering/faculty-listing
Robert B Tarn, Engineering & Computer Science, Department of Mechanical Engineering, https://www.csun.edu/engineering-computer-science/mechanical-engineering/faculty-listing
Alan Von Arx, Engineering & Computer Science, Department of Mechanical Engineering, https://www.csun.edu/engineering-computer-science/mechanical-engineering/faculty-listing
Gopinath R Warrier, Engineering & Computer Science, Department of Mechanical Engineering, https://www.csun.edu/engineering-computer-science/mechanical-engineering/faculty-listing
Larry Caretto, Engineering & Computer Science, Department of Mechanical Engineering, https://www.csun.edu/engineering-computer-science/mechanical-engineering/faculty-listing
Shoeleh S Di julio, Engineering & Computer Science, Department of Mechanical Engineering, https://www.csun.edu/engineering-computer-science/mechanical-engineering/faculty-listing
Melvin Epstein, Engineering & Computer Science, Department of Mechanical Engineering, https://www.csun.edu/engineering-computer-science/mechanical-engineering/faculty-listing
Timothy W Fox, Engineering & Computer Science, Department of Mechanical Engineering, https://www.csun.edu/engineering-computer-science/mechanical-engineering/faculty-listing
Sidney H Schwartz, Engineering & Computer Science, Department of Mechanical Engineering, https://www.csun.edu/engineering-computer-science/mechanical-engineering/faculty-listing
Sembiam R Rengarajan, Engineering & Computer Science, Department of Electrical Engineering, https://www.csun.edu/engineering-computer-science/electrical-computer-engineering/faculty-staff
Ali Amini, Engineering & Computer Science, Department of Electrical Engineering, https://www.csun.edu/engineering-computer-science/electrical-computer-engineering/faculty-staff
Nagi M El naga, Engineering & Computer Science, Department of Electrical Engineering, https://www.csun.edu/engineering-computer-science/electrical-computer-engineering/faculty-staff
